location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Cambodia,2020-02-26,0,0,16718971.0,4.412,3645.07,0.8
Vietnam,2020-03-30,15,0,97338583.0,7.15,6171.884,2.6
United Arab Emirates,2020-05-21,941,6,9890400.0,1.144,67293.483,1.2
United States,2020-04-21,28065,1857,331002647.0,15.413,54225.446,2.77
China,2020-06-04,1,0,1439323774.0,10.641,15308.712,4.34
Serbia,2020-05-26,34,1,6804596.0,17.366,14048.881,5.609
Seychelles,2020-04-21,0,0,98340.0,8.606,26382.287,3.6
Saudi Arabia,2020-05-11,1912,7,34813867.0,3.295,49045.411,2.7
Romania,2020-01-29,0,0,19237682.0,17.85,23313.199,6.892
Finland,2020-04-01,71,4,5540718.0,21.228,40585.721,3.28
Colombia,2020-04-26,261,8,50882884.0,7.646,13254.949,1.71
Ireland,2020-04-20,493,39,4937796.0,13.928,67335.293,2.96
Afghanistan,2020-05-11,369,5,38928341.0,2.581,1803.987,0.5
Paraguay,2020-06-04,57,0,7132530.0,6.378,8827.01,1.3
World,2020-04-11,89320,7221,7794798729.0,8.696,15469.207,2.705
Canada,2020-02-24,0,0,37742157.0,16.984,44017.591,2.5
Sweden,2020-03-04,9,0,10099270.0,19.985,46949.283,2.22
Belize,2020-05-19,0,0,397621.0,3.853,7824.362,1.3
Haiti,2020-03-27,0,0,11402533.0,4.8,1653.173,0.7
Syria,2020-05-15,0,0,17500657.0,,,1.5
Gabon,2020-03-29,0,0,2225728.0,4.45,16562.413,6.3
Senegal,2020-04-22,35,0,16743930.0,3.008,2470.58,
Sierra Leone,2020-04-15,0,0,7976985.0,2.538,1390.3,
Nigeria,2020-06-02,416,12,206139587.0,2.751,5338.454,
Burkina Faso,2020-04-18,14,3,20903278.0,2.409,1703.102,0.4
Israel,2020-04-29,123,6,8655541.0,11.733,33132.32,2.99
Uruguay,2020-04-17,9,0,3473727.0,14.655,20551.409,2.8
Spain,2020-05-28,1137,1,46754783.0,19.436,34272.36,2.97
